trade_date,ggt_ss,ggt_sz,hgt,sgt,north_money,south_money
20251113,27966.81,22116.92,105544.57,119876.62,225421.19,50083.73
20251112,27988.09,22130.85,107176.37,118889.07,226065.44,50118.94
20251111,27954.12,22121.96,103781.35,119586.24,223367.59,50076.08
20251110,27927.31,22104.1,116913.46,126723.32,243636.78,50031.41
20251107,27915.79,22049.08,111774.49,124081.26,235855.75,49964.87
20251106,27878.93,22010.72,119876.27,124329.29,244205.56,49889.64
20251105,27865.41,21969.44,109378.96,119302.89,228681.85,49834.85
20251104,27831.82,21899.3,120161.36,120748.98,240910.34,49731.12
20251103,27779.81,21852.99,132332.28,135410.14,267742.42,49632.8
20251031,27766.77,21811.31,139745.57,144512.11,284257.68,49578.08
20251030,27709.05,21781.84,147672.92,144400.65,292073.57,49490.89
20251028,27642.94,21711.54,117001.21,120131.96,237133.17,49354.48
20251027,27624.82,21707.08,137399.81,140584.61,277984.42,49331.89
20251024,27608.36,21694.8,108683.73,113297.12,221980.85,49303.16
20251023,27601.32,21667.7,98041.38,101864.94,199906.32,49269.02
20251022,27553.62,21661.96,105125.64,108666.49,213792.13,49215.58
20251021,27486.69,21628.71,120831.11,126034.69,246865.8,49115.4
20251020,27461.45,21642.24,115299.6,119431.69,234731.29,49103.69
20251017,27484.31,21646.08,129355.33,127821.56,257176.89,49130.39
20251016,27427.75,21639.61,129487.21,131075.29,260562.5,49067.36
20251015,27341.04,21568.11,149423.27,147048.47,296471.74,48909.15
20251014,27404.14,21559.44,171288.72,176213.3,347502.02,48963.58
20251013,27354.41,21523.14,156571.88,169589.7,326161.58,48877.55
20251010,27278.43,21401.07,165940.88,168537.55,334478.43,48679.5
20251009,27290.63,21392.86,177724.15,182440.75,360164.9,48683.49
20250930,27242.1,21410.96,134688.21,141565.97,276254.18,48653.06
20250929,27151.31,21346.95,143067.96,151549.83,294617.79,48498.25
20250926,27174.88,21339.91,130684.02,148227.98,278912.0,48514.79
20250925,27101.22,21308.17,134820.91,163604.29,298425.2,48409.39
20250924,27052.93,21246.01,133288.12,152845.3,286133.42,48298.93
20250923,27000.68,21161.21,151360.34,173202.8,324563.14,48161.88
20250922,27023.89,21178.68,129460.83,141421.81,270882.64,48202.57
20250919,26942.35,21132.85,154819.16,171575.07,326394.23,48075.21
20250918,26889.52,21087.31,175897.24,195893.87,371791.11,47976.83
20250917,26870.45,21043.49,131298.59,156426.96,287725.55,47913.94
20250916,26848.9,20970.64,131787.08,155834.68,287621.76,47819.54
20250915,26878.65,20972.78,130771.26,156534.58,287305.84,47851.43
20250912,26808.97,20897.73,149370.25,161912.53,311282.78,47706.7
20250911,26823.84,20809.55,146031.46,169235.81,315267.27,47633.39
20250910,26743.12,20700.39,119420.27,144194.34,263614.61,47443.51
20250909,26717.75,20650.09,130442.49,151309.07,281751.56,47367.84
20250908,26696.58,20568.95,155883.81,173159.66,329043.47,47265.53
20250905,26614.91,20483.57,148213.31,167835.08,316048.39,47098.49
20250904,26607.53,20434.73,187635.91,193235.69,380871.6,47042.26
20250903,26593.66,20441.54,158031.35,174530.31,332561.66,47035.2
20250902,26561.64,20418.47,167401.0,199684.17,367085.17,46980.12
20250901,26505.29,20382.02,158894.65,183418.95,342313.6,46887.31
20250829,26448.7,20319.18,172300.07,205259.58,377559.65,46767.88
20250828,26435.28,20212.14,176263.92,217544.76,393808.68,46647.43
20250827,26568.25,20283.59,181204.75,217626.19,398830.94,46851.84
20250826,26478.2,20219.93,165926.96,197534.23,363461.19,46698.13
20250825,26382.15,20150.25,190607.04,213937.14,404544.18,46532.4
20250822,26406.51,20139.65,155128.0,169807.67,324935.67,46546.16
20250821,26400.6,20093.9,142540.7,167231.23,309771.93,46494.5
20250820,26378.59,20041.31,156281.29,160808.45,317089.74,46419.9
20250819,26454.45,20112.26,178355.82,170486.3,348842.12,46566.71
20250818,26365.34,20015.64,186256.77,183230.22,369486.99,46380.98
20250815,26345.93,20021.19,161296.89,149139.27,310436.16,46367.12
20250814,26148.81,19859.54,136148.09,149136.26,285284.35,46008.35
20250813,26132.36,19865.66,137853.67,139338.35,277192.02,45998.02
20250812,26216.95,19863.84,116464.27,120069.68,236533.95,46080.79
20250811,26170.83,19815.46,110252.44,116747.55,226999.99,45986.29
20250808,26172.64,19813.27,97161.39,103735.05,200896.44,45985.9
20250807,26139.84,19783.35,105819.93,115195.46,221015.39,45923.19
20250806,26173.47,19743.11,99259.18,101427.16,200686.34,45916.58
20250805,26128.78,19692.95,94301.29,104794.64,199095.93,45821.73
20250804,25989.41,19598.06,93436.78,101254.39,194691.17,45587.47
20250801,26100.66,19667.73,104180.31,113431.95,217612.26,45768.39
20250731,26044.9,19601.42,126113.32,130586.34,256699.66,45646.32
20250730,25968.86,19546.2,117451.04,121693.3,239144.34,45515.06
20250729,25904.6,19493.33,120232.11,113199.36,233431.47,45397.92
20250728,25845.81,19424.91,115899.28,110771.84,226671.12,45270.72
20250725,25782.43,19395.76,123028.38,105185.3,228213.68,45178.19
20250724,25667.69,19308.66,130065.89,110649.92,240715.81,44976.35
20250723,25646.17,19292.99,125752.67,111872.11,237624.78,44939.17
20250722,25655.45,19296.91,125682.27,115814.97,241497.24,44952.36
20250721,25625.61,19299.58,102808.86,105886.52,208695.38,44925.19
20250718,25586.61,19268.07,92077.63,102543.07,194620.7,44854.68
20250717,25553.73,19241.64,83570.05,101119.53,184689.58,44795.36
20250716,25537.04,19239.77,81004.3,102493.31,183497.61,44776.81
20250715,25516.95,19243.83,91052.8,110604.69,201657.49,44760.78
20250714,25501.05,19221.49,98215.44,92987.81,191203.25,44722.55
20250711,25470.03,19170.09,138670.06,106834.06,245504.12,44640.12
20250710,25492.0,19130.68,109951.88,92311.94,202263.82,44622.68
20250709,25476.21,19117.45,86832.66,95058.24,181890.9,44593.66
20250708,25410.36,19090.73,74446.74,93219.08,167665.82,44501.09
20250707,25412.74,19084.48,61433.98,75330.39,136764.37,44497.23
20250704,25354.84,19021.72,72794.13,86325.97,159120.1,44376.56
20250703,25324.79,18984.93,64474.76,81914.35,146389.11,44309.73
20250702,25343.45,18996.74,69115.03,76332.42,145447.45,44340.2
20250630,25330.66,18959.17,60231.83,71569.96,131801.79,44289.84
20250627,25306.73,18930.91,75935.43,81937.83,157873.26,44237.64
20250626,25303.8,18903.47,72310.1,85537.69,157847.79,44207.27
20250625,25271.39,18883.01,81045.39,90588.32,171633.71,44154.41
20250624,25223.85,18834.82,76205.86,84354.66,160560.52,44058.67
20250623,25215.74,18817.04,66828.46,70907.26,137735.72,44032.78
20250620,25171.84,18781.99,72102.5,71736.57,143839.07,43953.83
20250619,25184.26,18754.06,60785.62,71443.21,132228.83,43938.32
20250618,25173.61,18750.43,60056.52,68001.93,128058.45,43924.05
20250617,25158.9,18752.73,64786.08,72141.79,136927.87,43911.63
20250616,25123.1,18725.51,70120.81,74522.63,144643.44,43848.61
20250613,25096.42,18694.75,111197.25,102512.48,213709.73,43791.18
20250612,25124.32,18664.97,71703.1,78231.92,149935.02,43789.29
20250611,25085.81,18647.64,68228.74,74978.79,143207.53,43733.44
20250610,25082.81,18636.87,74843.08,83111.02,157954.1,43719.68
20250609,25034.86,18608.92,67461.94,73833.88,141295.82,43643.77
20250606,25040.16,18596.44,58707.08,66278.57,124985.65,43636.61
20250605,24962.38,18606.56,65581.26,76587.54,142168.8,43568.94
20250604,24938.09,18623.44,63057.04,73406.89,136463.93,43561.53
20250603,24910.35,18616.02,79480.99,78064.45,157545.44,43526.37
20250530,24880.6,18606.73,75302.98,77318.54,152621.52,43487.33
20250529,24798.92,18591.93,62983.79,74865.59,137849.38,43390.86
20250528,24757.06,18589.97,48428.56,55544.17,103972.73,43347.04
20250527,24717.82,18593.44,51129.26,59933.77,111063.03,43311.26
20250526,24636.15,18555.36,56629.24,65792.36,122421.6,43191.51
20250523,24617.59,18588.99,64204.49,72017.4,136221.89,43206.58
20250522,24600.65,18617.32,56546.02,63726.16,120272.18,43217.97
20250521,24570.41,18608.76,58383.75,70399.73,128783.48,43179.17
20250520,24542.76,18622.14,58043.87,71585.74,129629.61,43164.9
20250519,24499.71,18601.87,57160.54,65356.76,122517.3,43101.59
20250516,24427.04,18589.96,68378.45,65413.37,133791.82,43016.99
20250515,24405.84,18600.2,68310.68,69408.69,137719.37,43006.04
20250514,24386.21,18622.04,79190.59,80458.58,159649.17,43008.25
20250513,24336.18,18605.0,69280.22,80145.62,149425.84,42941.18
20250512,24297.85,18620.72,69808.09,79696.27,149504.36,42918.57
20250509,24377.94,18725.9,61304.65,72831.52,134136.17,43103.84
20250508,24345.48,18717.92,66428.77,77454.64,143883.41,43063.4
20250507,24356.45,18730.8,97101.62,92303.54,189405.16,43087.25
20250506,24398.23,18767.68,83768.3,90342.71,174111.01,43165.91
20250430,24321.33,18709.83,74687.29,75987.73,150675.02,43031.15
20250429,24273.44,18701.35,66980.55,69292.94,136273.49,42974.79
20250428,24305.95,18733.08,66987.11,71234.55,138221.66,43039.03
20250425,24282.52,18736.2,69064.11,73185.86,142249.97,43018.72
20250424,24304.11,18784.81,65071.63,73592.62,138664.25,43088.92
20250423,24265.21,18789.84,71726.93,80115.42,151842.35,43055.05
20250422,24359.6,18876.53,65756.85,69139.87,134896.72,43236.12
20250417,24241.54,18780.98,64301.08,53485.79,117786.87,43022.52
20250417,24241.54,18780.98,64301.08,53485.79,117786.87,43022.52
20250422,24359.6,18876.53,65756.85,69139.87,134896.72,43236.12
20250423,24265.21,18789.84,71726.93,80115.42,151842.35,43055.05
20250424,24304.11,18784.81,65071.63,73592.62,138664.25,43088.92
20250425,24282.52,18736.2,69064.11,73185.86,142249.97,43018.72
20250428,24305.95,18733.08,66987.11,71234.55,138221.66,43039.03
20250429,24273.44,18701.35,66980.55,69292.94,136273.49,42974.79
20250430,24321.33,18709.83,74687.29,75987.73,150675.02,43031.15
20250506,24398.23,18767.68,83768.3,90342.71,174111.01,43165.91
20250507,24356.45,18730.8,97101.62,92303.54,189405.16,43087.25
20250508,24345.48,18717.92,66428.77,77454.64,143883.41,43063.4
20250509,24377.94,18725.9,61304.65,72831.52,134136.17,43103.84
20250512,24297.85,18620.72,69808.09,79696.27,149504.36,42918.57
20250513,24336.18,18605.0,69280.22,80145.62,149425.84,42941.18
20250514,24386.21,18622.04,79190.59,80458.58,159649.17,43008.25
20250515,24405.84,18600.2,68310.68,69408.69,137719.37,43006.04
20250516,24427.04,18589.96,68378.45,65413.37,133791.82,43016.99
20250519,24499.71,18601.87,57160.54,65356.76,122517.3,43101.59
20250520,24542.76,18622.14,58043.87,71585.74,129629.61,43164.9
20250521,24570.41,18608.76,58383.75,70399.73,128783.48,43179.17
20250522,24600.65,18617.32,56546.02,63726.16,120272.18,43217.97
20250523,24617.59,18588.99,64204.49,72017.4,136221.89,43206.58
20250526,24636.15,18555.36,56629.24,65792.36,122421.6,43191.51
20250527,24717.82,18593.44,51129.26,59933.77,111063.03,43311.26
20250528,24757.06,18589.97,48428.56,55544.17,103972.73,43347.04
20250529,24798.92,18591.93,62983.79,74865.59,137849.38,43390.86
20250530,24880.6,18606.73,75302.98,77318.54,152621.52,43487.33
20250603,24910.35,18616.02,79480.99,78064.45,157545.44,43526.37
20250604,24938.09,18623.44,63057.04,73406.89,136463.93,43561.53
20250605,24962.38,18606.56,65581.26,76587.54,142168.8,43568.94
20250606,25040.16,18596.44,58707.08,66278.57,124985.65,43636.61
20250609,25034.86,18608.92,67461.94,73833.88,141295.82,43643.77
20250610,25082.81,18636.87,74843.08,83111.02,157954.1,43719.68
20250611,25085.81,18647.64,68228.74,74978.79,143207.53,43733.44
20250612,25124.32,18664.97,71703.1,78231.92,149935.02,43789.29
20250613,25096.42,18694.75,111197.25,102512.48,213709.73,43791.18
20250616,25123.1,18725.51,70120.81,74522.63,144643.44,43848.61
20250617,25158.9,18752.73,64786.08,72141.79,136927.87,43911.63
20250618,25173.61,18750.43,60056.52,68001.93,128058.45,43924.05
20250619,25184.26,18754.06,60785.62,71443.21,132228.83,43938.32
